date,anz,anzw,anzd,anzdiv,cba,cbaw,cbad,cbadiv,mqg,mqgw,mqgd,mqgdiv,nab,nabw,nabd,nabdiv,wbc,wbcw,wbcd,wbcdiv,aba,abaw,abad,abadiv,boq,boqw,boqd,boqdiv,ben,benw,bend,bendiv,banks,areit,asx,audusd,comm,dspread,tspread,bills,ivol
20121114,0.621771581969455,65789974.8,657588000,0,0.662003074616457,95086446.2,708925000,0,0.561029731156992,10130945.9238,138148000,0,0.56097575678784,53387764.64,760453000,0,0.201416652307351,76565409.55,648194000,0,-0.15602105803465,231650.99,2477310,0,0.408868182603861,2234856.5281,39606000,0,0.382943147575432,3157976.5,55904600,0,0.510712410042835,1.14052517352814,0.196568122944463,0.46986709641649,0.866351829581369,-1.00000000000002,-0.799999999999956,1.29999999999999,16.721
20121115,-0.621771581969455,65382185.7,657588000,0,-0.679116540103131,94442774.2,708925000,0,-0.461085186563714,10084312.2955,138148000,0,-0.0430555817448663,53448048.6,760453000,0,-0.848610736938582,75923158.08,648194000,0,-0.156264864178635,231289.6,2477310,0,-1.92320845879888,2113252.2695,39606000,80287.22,-1.15325708522569,3121770.4,55904600,0,-0.610791355427409,-0.639382351693385,-0.887745254251726,-0.806843297442895,-0.0601662198263853,-2.99999999999998,-3.00000000000002,-0.999999999999979,15.036
20121116,-1.63495093417669,64321934.04,657588000,0,-0.700993926833249,93783010.4,708925000,0,0.855859849193674,10171258.8438,138148000,0,-0.129212351547636,53379024,760453000,0,-0.896936423115058,75245272.74,648194000,0,-2.21075323540418,226230.14,2477310,0,-1.88849085384062,2073695.3738,39606000,0,-1.16671242985644,3085564.3,55904600,0,-0.868830797499598,-0.0128868994176301,-0.263071300821771,-0.415559911868371,0.410126740405481,0,3.19999999999996,-1.69999999999999,15.778
20121119,-0.0422320466338277,64294748.1,657588000,0,-0.223350963007718,93573817,708925000,0,-0.558813106272638,10115157.3702,138148000,0,0.687298283898663,53747155.2,760453000,0,-0.0819762913042865,75183646.8,648194000,0,-1.77283948511375,222254.85,2477310,0,0.439089421027461,2082835.765,39606000,0,0.130793060455581,3089587.2,55904600,0,0.0270159880569665,0.574314254239816,0.565644787130282,0.463768947175122,0.265917274272631,-0.0000000000000444089209850063,7.30000000000004,-1.80000000000002,16.015
20121120,-0.466218025619902,63995702.76,657588000,0,-0.413507189284346,93187613.8,708925000,0,0.723024791325066,10188573.6312,138148000,0,1.40275865706379,54506425.8,760453000,0,1.18153722925438,76077222.93,648194000,0,0,222254.85,2477310,0,-0.439089421027461,2073695.3738,39606000,0,-0.522741865848797,3073495.6,55904600,0,0.319820604172882,-0.0273455549260504,0.573961146668545,0.34642066976689,0.323788227947741,0,6.99999999999998,0,15.557
20121121,-0.0849935881818809,63941330.88,657588000,0,-0.0520498662309521,93139338.4,708925000,0,0.749115826733604,10265344.02,138148000,0,-0.0844285426337521,54460409.4,760453000,0,-0.365178586992343,75799906.2,648194000,0,0.808911477391394,224061.8,2477310,0,0.293407667813117,2079778.6747,39606000,0,0.522741865848797,3089587.2,55904600,0,-0.138108345458576,-0.408214084625591,-0.369595197400407,-0.55871448683328,0.556602124615413,-0.999999999999979,2,1.50000000000001,14.742
20121122,0.931019839827663,64539421.56,657588000,0,1.3556662257546,94410590.6,708925000,0,1.03429959427608,10372495.158,138148000,0,-0.126808872467166,54391384.8,760453000,0,0.930607607659439,76508604.51,648194000,0,-1.6259531557365,220447.9,2477310,0,1.5950831860275,2113252.2695,39606000,0,2.3169719991758,3161999.4,55904600,0,0.892284185706771,1.04221400977913,0.992279258331052,0.289379964649264,0,0,4.50000000000004,0.999999999999979,13.709
20121123,-0.591478064022155,64158818.4,657588000,0,0.476343500464438,94861161,708925000,0,-0.0961117533218037,10362487.1691,138148000,0,-0.0423268958897438,54368376.6,760453000,0,0.442068470059098,76847547.18,648194000,0,1.46439125523372,223700.41,2477310,0,-0.867395854106068,2095002.3668,39606000,0,-0.510738692124679,3145907.8,55904600,0,0.119634241008448,0.254364157216713,-0.00133587072976837,0.134757937420661,-0.247999015804101,0.999999999999979,4.99999999999998,0,13.312
20121126,-0.127193100358802,64077260.58,657588000,0,0.338636862649366,95182997,708925000,0,0.257158699708437,10390065.946,138148000,0,0.295784039557923,54529434,760453000,0,-0.724334184404896,76292913.72,648194000,0,0.161561900502782,224061.8,2477310,0,0.867395854106068,2113252.2695,39606000,0,1.01747023262861,3178091,55904600,0,-0.0354897459301284,-0.206026101330714,0.255621865590427,0.585049383720788,-0.629348608189684,0,-4.50000000000004,1.00000000000002,12.822
20121127,1.0131233855482,64729723.14,657588000,0,0.118173974623126,95295639.6,708925000,0,0.735800991256497,10466878.78,138148000,0,0.546984550009455,54828540.6,760453000,0,0.523645091238656,76693482.33,648194000,0,-0.161561900502782,223700.41,2477310,0,-0.722074783749882,2098028.5774,39606000,0,0.253814400621266,3186136.8,55904600,0,0.491828094815716,0.0502192492136899,0.739247717153546,0.276942353388924,0.51978801707131,0,0.500000000000034,2,12.927
20121128,0.0419882143816608,64756909.08,657588000,0,-0.406020990994982,94909436.4,708925000,0,0.540165472666843,10523588.5056,138148000,0,0.209618955879698,54943581.6,760453000,0,0.560898163994317,77124863.91,648194000,0,-0.647349576888612,222254.85,2477310,0,-0.727326649063276,2082835.765,39606000,0,0,3186136.8,55904600,0,0.0574417741329825,-0.323970069987567,-0.213823196506624,-0.267379838440208,-0.63346167634597,1.00000000000002,-7.50000000000002,0,12.658
20121129,1.12710792671535,65490929.46,657588000,0,0.776920713738249,95649659.2,708925000,0,1.10287926369583,10640331.8522,138148000,0,0.29275576840142,55104639,760453000,0,0.795892242202001,77741123.31,648194000,0,0,222254.85,2477310,0,1.3051266644962,2110195.1792,39606000,0,1.00468151172448,3218320,55904600,0,0.776187786443217,0.245407764176875,0.688260887503489,0.0764672184077116,0.386253827425254,1.00000000000002,1.50000000000001,-1.00000000000002,12.847
