date,anz,cba,mqg,nab,wbc,banks,areit,asx,audusd,comm,dspread,tspread,bills,ivol
20001206,0.678447685,-0.205517062,1.930391224,1.909735014,-2.845914946,0.530982706,1.746363505,1.071342129,3.623855624,-2.101745779,0,-7.5,-8,24.99
20001213,-2.192224598,-2.527853866,0.065133322,-2.922602212,-3.187015541,-2.446106293,3.708561277,-0.321646338,-0.570326263,-0.735991168,2,-17,3,24.88
20001220,-2.449533892,-0.292303476,1.13301904,2.285308037,-0.905356856,0.128605182,-0.873044892,-1.590477993,1.064425539,-2.123495181,-2,2,-6,27.17
20001227,3.02418064,3.450211665,0.947096232,1.567348729,1.297521149,2.145752252,1.991655068,-0.40345711,2.059693409,0.234445303,-2,-9,-0.5,28.73
20010103,-0.999571402,-0.238793864,0.411674623,-2.398106683,0.969195006,-0.745355862,0.434869085,0.222935812,0.978742576,-0.593723553,4,5,-13.5,29.99
20010110,-3.239719857,-3.76549462,0.283407017,0.006278633,-1.424744458,-1.847040801,-1.541029998,0.1087117,-1.426812149,3.616363202,-1,13.5,-13,27.99
20010117,-1.739167048,-1.583561536,-1.746847769,-3.105429586,-1.200901022,-1.832355922,-1.822571251,0.447294656,-0.323857786,-1.889532158,-4,12,4,25.28
20010124,3.817313837,2.882555654,2.800079676,2.448805733,2.621454892,2.735417618,0.516076834,1.326847333,-0.342991581,2.824998831,-5,-3,-7,21.57
20010131,3.278253831,3.175526212,-0.215648303,2.344405892,4.927064606,2.909213193,-1.059726466,1.354818235,-1.164072803,-3.429747881,-1,3,-10,22.57
20010207,-1.28575734,-2.541578329,0.44255658,0.823088301,-3.057107592,-1.227348126,-0.631591159,-0.873273493,0.47454004,3.528720176,-3,15.5,-14,21.98
20010214,1.8319048,-5.349148821,-0.666538441,-2.335336541,2.971968371,-1.405469359,0.73793205,1.182732566,-3.351234647,1.105310575,11,-5,1,21.37
20010221,0.879221094,2.412259859,-2.741809755,-0.05999076,-0.857416379,0.804338977,-0.99474148,-0.869498855,-1.479541405,-0.20001099,2,10,-5,24.69
20010228,2.367659104,1.736559598,3.907296763,3.941864345,1.291665592,2.163967574,1.978444005,0.40254908,0.324334921,-0.233739514,2,-0.5,-12,26.49
20010307,-0.115537557,3.898913987,0.097160964,1.702385418,-1.164896085,1.303814725,1.515765508,1.21514641,-2.253779303,5.046266101,-2,16.5,-21,25.89
20010314,-4.557184348,-3.402571148,-5.100097353,-3.356233795,-3.46555915,-3.619062677,0.227973759,-2.801312726,-2.086689887,-0.886104842,2,-0.5,-18,27.55
20010321,-1.742747488,-3.659213102,0.247006954,-3.869330726,-1.83452834,-2.903729712,-0.566618255,-1.064294591,-0.258938497,-0.808397068,6,13,-13,30.96
20010328,-5.911020132,-3.301231204,0.751547249,-1.350422153,-5.720955411,-3.419861316,-1.410877533,-1.280986652,-0.399680788,0.10333819,1,10,22,27.04
20010404,4.543366209,3.471870416,3.979104864,6.325351984,5.1979728,4.743678117,-0.087455684,0.502540935,-2.432223665,1.500571597,-2,22.5,-31,34.72
20010411,-4.463213717,-3.15439396,0.06220961,-1.499496332,-1.162365448,-2.355256499,-0.117251605,2.057522229,2.352095456,-1.326537245,-2,24.5,8,29.44
20010418,-0.47690321,0.422154358,-2.744540202,-3.220145069,-2.680842518,-1.63452201,-0.550186899,0.575159215,0.360072403,0.381260898,2,15,-2,25.61
20010425,3.05038816,3.420306038,2.522741598,5.383618082,3.661153115,3.785550994,-0.543677711,0.703996412,1.190962866,-2.244121139,-6,29.5,-19,28.49
20010502,0.686604746,-3.385517379,4.64119976,-0.054730475,-1.432024199,-0.917940728,0.259836255,0.896210368,2.609690457,-1.939895987,-4,-10.5,14,24.2
20010509,1.295813908,0.92490211,2.839553253,0.552883372,-0.070064939,0.965561217,0.877193984,0.483417745,-0.076923081,-0.743648153,-2,1,-11,24.44
20010516,4.092726837,4.931282431,1.116125139,5.261930998,3.318028513,4.737487211,0.718672721,1.097736516,0.153787035,0.545110761,2,26,12,23.71
20010523,1.584643263,2.235959694,1.544754095,1.616816299,1.677752729,1.714197224,0.133141601,1.402922787,-0.250024171,2.188918951,-2,-12.5,8,21.35
20010530,2.307068822,0.502829469,1.306088206,0.171518034,3.005571403,0.915379035,0.416240039,-0.781462631,0.134706073,-2.181673879,4,1.5,1,22.14
20010606,2.08495091,-0.192833282,4.281001155,5.652723342,2.864406351,2.884861608,0.143924118,0.81742838,-0.830361052,-1.244257619,-2,-10,2,19.58
20010613,0.985475434,6.339145435,3.159942195,1.406869338,-1.409620941,3.148330534,1.100896689,-0.726561246,2.243407286,-1.307434044,0,-16,2,20.7
20010620,3.981362837,-0.789939428,2.530007018,0.882820236,1.074927639,0.829615493,-0.170725683,0.677442854,-1.586273109,-1.80609197,0,1,-5,22.34
20010627,-0.043415231,1.362872136,-0.570772406,-1.17265572,1.483760859,0.012311397,1.668513455,0.012972482,0.230902546,-1.388786536,1,10.5,-1,21.2
20010704,-2.389434835,-2.924400027,1.736829665,-3.185060624,-3.834875061,-3.174999475,-0.197853821,0.590862773,-0.269438192,0.854068392,4,18.5,10,18.92
20010711,-0.751134537,-3.758373858,0.991186473,-1.683528357,-0.791453272,-1.949411618,0.217132618,-1.516480241,-1.730046066,4.315007841,-8.8800000000000000E-14,-10,-2,23.25
20010718,1.551449955,0.969565738,4.844500188,2.529657725,1.599149971,1.629459214,-0.730269922,0.469249078,0.039207999,-3.322928741,8.8800000000000000E-14,-6.5,1,22.61
20010725,-0.429585597,-1.101836364,-0.324492073,-1.067907711,1.233698234,-0.751384809,1.528954767,-2.224193372,-0.274779368,2.255520243,-2,-0.5,2,25.24
20010801,0.580993775,-2.215108855,-7.00323382,0.831568233,-0.276331695,-0.223065734,1.961551575,1.652153562,0.431457818,-2.512997896,-8.8800000000000000E-14,-2,-2,21.62
20010808,4.186106956,0.217911978,4.210010226,3.614360852,3.384638183,2.717327384,1.341724352,0.866251395,1.012469708,0.088138292,8.8800000000000000E-14,-0.5,0,21.01
20010815,-1.634199991,2.157951203,-1.871524629,-0.421083311,-0.866972095,-0.08532308,0.051200508,-1.051784543,1.4424714,-0.548270009,0,-19,-3,20.48
20010822,-0.029823128,-0.969575525,-0.061655134,-1.450845025,-1.144871306,-1.068088449,1.123414884,-1.559067928,2.545146336,-2.543403197,3,-3.5,-7,24.4
20010829,2.860939716,1.879054142,9.461329954,1.802717308,0.852922679,1.684641577,1.012901099,1.350227809,-1.160844341,1.363026513,-1,-6,-12,22
20010905,-0.914269983,-3.760096542,3.22544055,-13.8783419,-1.76200659,-6.045248318,-2.725038762,-1.688468915,-2.305083487,0.603517128,0,31,-1,25.85
20010912,-6.206937415,-4.40921974,-5.097168089,-6.632396498,-2.775237236,-5.023210067,-2.102072508,-5.529616835,0.327080619,1.273958209,1,3.5,-38,31.84
20010919,-3.127570163,-5.192854365,-12.69645578,-9.164356035,-5.169769914,-5.733148438,4.221292986,-2.205469923,-5.955671356,2.371190383,1,7,4,38.87
20010926,1.669584754,-2.380240974,3.303685219,2.996843847,0.1672945,0.388156202,-1.781734044,-1.357217649,0.548949228,-4.191202883,-2,6.5,-2,35.81
20011003,5.354363342,5.648650923,6.77927419,7.895531727,4.107083043,6.1467146,2.690977984,4.472161586,0.988608879,-2.227676142,4,-14.5,-4,31.18
20011010,3.140857003,-2.302814362,0.187600817,-0.724920006,5.440633012,0.756263002,0.788709146,0.397707783,0.700212924,-1.574496647,-1,1,-3,34.83
20011017,2.481458711,5.045850524,-1.908452048,6.385004288,1.256478824,3.987527382,1.684276237,3.189088026,2.791610413,-3.181856332,1,2,-1,32.88
