date,anz,anzw,anzd,anzdiv,cba,cbaw,cbad,cbadiv,mqg,mqgw,mqgd,mqgdiv,nab,nabw,nabd,nabdiv,wbc,wbcw,wbcd,wbcdiv,aba,abaw,abad,abadiv,boq,boqw,boqd,boqdiv,ben,benw,bend,bendiv,banks,areit,asx,audusd,comm,dspread,tspread,bills,ivol
20000403,0.861547510374905,"15,512,773.19",162818000,0,2.02863913385665,"20,781,409.922",199300000,0,-0.838130714298124,"4,408,393.095",26731220,0,3.11433935843404,"32,654,038.4",323784000,0,1.12806653131896,"19,126,878.19",158556000,0,-0.59333409490181,"66,267.4068",884779,0,-0.191328891260145,"284,562.4804",3500202,0,0.707575717088993,"397,024.5252",4613436,0,1.89279162846798,1.4138991006245,1.83198790834709,0.26389591432413,-0.995528897972342,0,-6.00000000000005,4.99999999999998,24.11
20000404,4.29173000905596,"16,193,124.07",162818000,0,2.8204059439358,"21,375,887.26",199300000,0,0.268252496891375,"4,420,173.375",26731220,0,2.79803112067949,"33,580,606.08",323784000,0,3.98465920710143,"19,904,423.382",158556000,0,2.94352330128715,"68,245.8648",884779,0,-0.189885492842112,"284,016.9145",3500202,0,2.03809075475752,"397,024.5252",4613436,"8,282.19",3.08665058593149,0.77217626095365,-0.44196968515493,-0.677632540920292,-0.922322389532582,-8.88178419700125e-14,-5.99999999999996,3.00000000000002,24.03
20000405,1.76524442221861,"16,481,345.4428",162818000,0,2.58563647162928,"21,936,033.08",199300000,0,-0.57314445168144,"4,394,917.6875",26731220,0,3.41245216186774,34746288,323784000,0,3.13795645583212,"20,538,929.6",158556000,0,-2.94352330128715,"66,267.4068",884779,0,0.951221411709291,"286,733.0114",3500202,0,1.16718906438571,"401,694.1028",4613436,0,2.68512132339325,0.862237532879462,-0.676100847807781,0.380700617045604,0.381489320141171,-0.999999999999979,-4,0,27.12
20000406,-1.76524442221861,"16,193,124.07",162818000,0,-0.826197150292707,"21,755,340.88",199300000,0,1.52188233506472,"4,462,277.6025",26731220,0,0,34746288,323784000,0,-0.896816775894216,"20,355,546.3",158556000,0,0,"66,267.4068",884779,0,-1.14328177043381,"283,471.3486",3500202,0,0,"401,694.1028",4613436,0,-0.617339982107445,-0.63174988210033,0.059730901908317,0.0660611089260077,0.0152083677781967,8.88178419700125e-14,-8.88178419700125e-14,-0.999999999999979,28.41
20000407,0,"16,193,124.07",162818000,0,-1.29596810057189,"21,475,267.97",199300000,0,-0.228030074787977,"4,452,175.3275",26731220,0,-2.61455373983424,"33,849,609.6",323784000,0,-1.81812869909983,"19,988,779.7",158556000,0,1.47968895596442,"67,255.6416",884779,0,-0.19061283239985,"282,931.649",3500202,0,-2.74781063411789,"390,801.051",4613436,0,-1.60028892297248,0.531707107105994,0.784197424876609,-0.978854767199278,0.269172118363858,-8.88178419700125e-14,4.00000000000009,1.99999999999996,27.15
20000410,0.909195821652276,"16,340,945.7612",162818000,0,-1.35572905168884,"21,186,160.45",199300000,0,-0.87262919617066,"4,413,444.2325",26731220,0,2.27409213088734,"34,628,225.344",323784000,0,-0.266491516598677,"19,935,598.543",158556000,0,0,"67,255.6416",884779,0,0.572558683966484,"284,562.4804",3500202,0,-0.600317076337653,"388,458.3744",4613436,0,0.49636829104287,0.28890065422118,0.610770631409174,-0.350731048470021,-0.523297858280092,8.88178419700125e-14,-11,-0.999999999999979,24.39
20000411,-0.817885348012659,"16,207,813.464",162818000,0,1.48218388436074,"21,502,371.8",199300000,0,1.66297262623347,"4,487,533.29",26731220,0,3.45268907386735,"35,844,719.04",323784000,0,-1.2125509146367,"19,695,366.42",158556000,0,0,"67,255.6416",884779,0,0.191328891260145,"285,102.18",3500202,0,-0.603942658200118,"386,123.5856",4613436,0,1.13195770702177,0.161770265868277,-0.891782336999469,-0.452755028457885,-0.137833821615363,-8.88178419700125e-14,-7.00000000000003,-0.999999999999979,25.99
20000412,2.9665303924725,"16,695,810.5952",162818000,0,1.971237728063,"21,930,612.314",199300000,0,0.263527910767181,"4,499,313.57",26731220,0,1.6171789767979,"36,429,054.464",323784000,0,1.47904243123538,"19,988,779.7",158556000,0,0,"67,255.6416",884779,0,0.759886171087132,"287,272.711",3500202,0,1.20425973453777,"390,801.051",4613436,0,1.68278152734089,-0.850388392188961,-0.766905605488155,0.251783599234112,1.58098834534188,2.00000000000005,11,-2.00000000000005,27.25
20000413,1.40731790653259,"16,932,387.1512",162818000,0,2.82788021143379,"22,559,421.17",199300000,0,-1.20470093201854,"4,445,429.0625",26731220,0,-2.39143728745717,"35,568,243.2",323784000,0,0,"19,988,779.7",158556000,0,0,"67,255.6416",884779,0,-0.759886171087132,"285,102.18",3500202,0,-0.600317076337653,"388,458.3744",4613436,0,0.0236335638861718,-0.392980891774997,-1.56895113815754,0.351435388062782,0.526129313959878,1.00000000000007,4,-0.999999999999979,28.98
20000414,1.27556462459548,"17,007,789.5488",162818000,0,2.4908034242821,"23,128,601.6",199300000,0,-0.952356288606726,"4,403,341.9575",26731220,0,-0.915984750676557,"35,243,944.512",323784000,0,0,"19,988,779.7",158556000,0,0,"67,255.6416",884779,0,0.437235858914597,"286,351.7019",3500202,0,0.199065324521186,"389,239.2666",4613436,0,0.496942252994259,-0.313621609106107,0.390217133018389,-0.150463958839009,-1.0414979657261,0,-5.00000000000007,-1.99999999999996,29.4
20000417,-1.71333585425941,"16,718,887.7572",162818000,0,-2.79164511368748,"22,491,661.595",199300000,0,-8.22899626506004,"4,055,447.0025",26731220,0,-3.02621708325308,"34,193,336.32",323784000,0,-2.32060621284891,"19,530,321.45",158556000,0,0,"67,255.6416",884779,0,-1.97272234817882,"280,761.118",3500202,0,0,"389,239.2666",4613436,0,-2.51118045510772,-0.0605659965781769,-5.54790626331396,0.849651092213188,1.38318511954543,0.99999999999989,-2.99999999999994,-6.00000000000005,33.49
20000418,0.612172512065712,"16,821,628.8402",162818000,0,3.85642122792351,"23,503,760.482",199300000,0,0.281854594212039,"4,066,901.955",26731220,0,2.24722810518827,"34,970,457.6",323784000,0,1.39899374038608,"19,805,396.4",158556000,0,0,"67,255.6416",884779,0,1.53548648926423,"285,102.18",3500202,0,-1.18725437287583,"384,648.567",4613436,0,2.11886963205696,-0.0409854433964796,2.2311978775587,-1.30240612067107,-0.160406397179802,8.88178419700125e-14,4,4,28.95
20000419,3.84827030777242,"17,481,625.2898",162818000,0,1.06065818088945,"23,754,476.95",199300000,0,1.43097043184577,"4,125,495.15",26731220,0,1.3497861779717,"35,445,697.152",323784000,0,1.83480875506099,20172163,158556000,0,0,"67,255.6416",884779,0,-0.381214384102257,"276,959.7556",3500202,"7,626.19",2.3819398327328,"393,908.8442",4613436,0,1.74113193766434,0.937276757636418,1.95246689313517,0.369066011940555,0.951976034059587,0.999999999999979,5.99999999999996,2.00000000000005,26.12
20000420,-1.0117900121779,"17,305,585.3446",162818000,0,-0.301492044008533,"23,682,713.903",199300000,0,0.570033145709647,"4,149,072.8325",26731220,0,0.973500939793759,"35,792,412.8",323784000,0,-1.3822369799712,"19,895,254.217",158556000,0,0,"67,255.6416",884779,0,-0.590036478467137,"275,328.9242",3500202,0,-0.595558648853345,"391,574.0554",4613436,0,-0.182695115475973,-0.425211951728421,0.0160466199806919,-0.134048277445187,0.397254838943617,0.999999999999979,3.00000000000002,0.999999999999979,27.02
